date,neutral_count,positive_count,negative_count,total,neutral_count_pct,positive_count_pct,negative_count_pct
2020-03-28,484,1322,1014,2820,17.163120567375888,46.87943262411348,35.95744680851064
2020-03-29,504,1292,1052,2848,17.696629213483146,45.36516853932584,36.93820224719101
2020-03-30,812,1478,1405,3695,21.975642760487144,40.0,38.02435723951286
2020-03-31,752,1460,1213,3425,21.956204379562045,42.627737226277375,35.41605839416058
2020-04-01,546,1610,1164,3320,16.44578313253012,48.493975903614455,35.06024096385542
2020-04-02,600,1478,1198,3276,18.315018315018314,45.11599511599512,36.56898656898657
2020-04-03,670,1335,1132,3137,21.357985336308573,42.55658272234619,36.085431941345234
2020-04-04,491,1226,979,2696,18.212166172106826,45.474777448071215,36.31305637982196
2020-04-05,530,1428,1039,2997,17.684351017684353,47.647647647647645,34.668001334668006
2020-04-06,751,1879,1276,3906,19.226830517153097,48.10547875064004,32.667690732206864
2020-04-07,603,1605,1137,3345,18.026905829596412,47.98206278026906,33.99103139013453
2020-04-08,567,1575,1143,3285,17.26027397260274,47.94520547945205,34.794520547945204
2020-04-09,660,1401,1167,3228,20.44609665427509,43.40148698884758,36.152416356877325
2020-04-10,551,1184,954,2689,20.490888806247675,44.031238378579395,35.47787281517293
2020-04-11,389,1089,858,2336,16.652397260273975,46.61815068493151,36.72945205479452
2020-04-12,468,1050,781,2299,20.35667681600696,45.67203131796433,33.97129186602871
2020-04-13,749,1333,1042,3124,23.975672215108833,42.6696542893726,33.35467349551857
2020-04-14,729,1829,1219,3777,19.301032565528196,48.42467566851999,32.274291765951816
2020-04-15,565,1357,1080,3002,18.82078614257162,45.20319786808794,35.97601598934044
2020-04-16,651,1608,1228,3487,18.669343275021507,46.114138227702895,35.216518497275594
2020-04-17,514,1276,1036,2826,18.18825194621373,45.152158527954704,36.659589525831564
2020-04-18,563,1380,1085,3028,18.59313077939234,45.574636723910174,35.83223249669749
2020-04-19,504,1388,1262,3154,15.979708306911858,44.00760938490805,40.01268230818009
